EI_EXPOSE_REP2=>13
MF_CLASS_MASKS_FIELD=>1
RV_RETURN_VALUE_IGNORED_INFERRED=>2
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE=>1
SIC_INNER_SHOULD_BE_STATIC=>2
WMI_WRONG_MAP_ITERATOR=>1
UWF_UNWRITTEN_FIELD=>13
UC_USELESS_OBJECT=>3
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE=>11
OBL_UNSATISFIED_OBLIGATION=>1
DCN_NULLPOINTER_EXCEPTION=>2
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR=>8
DM_DEFAULT_ENCODING=>9
ES_COMPARING_PARAMETER_STRING_WITH_EQ=>1
EI_EXPOSE_REP=>1
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE=>4
NP_NULL_ON_SOME_PATH=>1
UC_USELESS_CONDITION=>1
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD=>3
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD=>3
DM_CONVERT_CASE=>2
NP_UNWRITTEN_FIELD=>4
DLS_DEAD_LOCAL_STORE=>2
SS_SHOULD_BE_STATIC=>3
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE=>2
